Date,State Name,county Name,State Code,County Code,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
2019-07-02,California,Los Angeles,6,37,129,Unhealthy for Sensitive Groups,Ozone,06-037-6012,17
2019-07-03,California,Los Angeles,6,37,108,Unhealthy for Sensitive Groups,Ozone,06-037-6012,15
2019-07-04,California,Los Angeles,6,37,91,Moderate,PM2.5,06-037-1302,15
2019-07-05,California,Los Angeles,6,37,161,Unhealthy,PM2.5,06-037-0016,17
2019-07-06,California,Los Angeles,6,37,133,Unhealthy for Sensitive Groups,Ozone,06-037-6012,15
2019-07-07,California,Los Angeles,6,37,87,Moderate,Ozone,06-037-6012,15
2019-07-08,California,Los Angeles,6,37,67,Moderate,Ozone,06-037-6012,17
2019-07-09,California,Los Angeles,6,37,93,Moderate,Ozone,06-037-6012,15
2019-07-10,California,Los Angeles,6,37,122,Unhealthy for Sensitive Groups,Ozone,06-037-6012,15
2019-07-11,California,Los Angeles,6,37,136,Unhealthy for Sensitive Groups,Ozone,06-037-6012,17
2019-07-12,California,Los Angeles,6,37,201,Very Unhealthy,Ozone,06-037-6012,15
2019-07-13,California,Los Angeles,6,37,179,Unhealthy,Ozone,06-037-6012,15
2019-07-14,California,Los Angeles,6,37,166,Unhealthy,Ozone,06-037-0016,17
2019-07-15,California,Los Angeles,6,37,177,Unhealthy,Ozone,06-037-0016,15
2019-07-16,California,Los Angeles,6,37,140,Unhealthy for Sensitive Groups,Ozone,06-037-6012,15
2019-07-17,California,Los Angeles,6,37,90,Moderate,Ozone,06-037-6012,17
2019-07-18,California,Los Angeles,6,37,61,Moderate,Ozone,06-037-0016,15
2019-07-19,California,Los Angeles,6,37,54,Moderate,PM2.5,06-037-0016,15
2019-07-20,California,Los Angeles,6,37,97,Moderate,Ozone,06-037-0016,17
2019-07-21,California,Los Angeles,6,37,101,Unhealthy for Sensitive Groups,Ozone,06-037-0016,15
2019-07-22,California,Los Angeles,6,37,126,Unhealthy for Sensitive Groups,Ozone,06-037-6012,15
2019-07-23,California,Los Angeles,6,37,161,Unhealthy,Ozone,06-037-0016,16
2019-07-24,California,Los Angeles,6,37,126,Unhealthy for Sensitive Groups,Ozone,06-037-1201,14
2019-07-25,California,Los Angeles,6,37,126,Unhealthy for Sensitive Groups,Ozone,06-037-6012,14
2019-07-26,California,Los Angeles,6,37,140,Unhealthy for Sensitive Groups,Ozone,06-037-6012,17
2019-07-27,California,Los Angeles,6,37,179,Unhealthy,Ozone,06-037-0016,15
2019-07-28,California,Los Angeles,6,37,169,Unhealthy,Ozone,06-037-6012,15
2019-07-29,California,Los Angeles,6,37,190,Unhealthy,Ozone,06-037-6012,17
2019-07-30,California,Los Angeles,6,37,174,Unhealthy,Ozone,06-037-6012,15
2019-07-31,California,Los Angeles,6,37,151,Unhealthy,Ozone,06-037-6012,15
2019-08-01,California,Los Angeles,6,37,126,Unhealthy for Sensitive Groups,Ozone,06-037-6012,16
2019-08-02,California,Los Angeles,6,37,166,Unhealthy,Ozone,06-037-6012,15
2019-08-03,California,Los Angeles,6,37,156,Unhealthy,Ozone,06-037-0016,15
2019-08-04,California,Los Angeles,6,37,169,Unhealthy,Ozone,06-037-0016,17
2019-08-05,California,Los Angeles,6,37,154,Unhealthy,Ozone,06-037-6012,15
2019-08-06,California,Los Angeles,6,37,147,Unhealthy for Sensitive Groups,Ozone,06-037-1201,15
2019-08-07,California,Los Angeles,6,37,156,Unhealthy,Ozone,06-037-6012,17
2019-08-08,California,Los Angeles,6,37,122,Unhealthy for Sensitive Groups,Ozone,06-037-6012,15
2019-08-09,California,Los Angeles,6,37,87,Moderate,Ozone,06-037-0016,15
2019-08-10,California,Los Angeles,6,37,93,Moderate,Ozone,06-037-0016,16
2019-08-11,California,Los Angeles,6,37,74,Moderate,Ozone,06-037-6012,15
2019-08-12,California,Los Angeles,6,37,119,Unhealthy for Sensitive Groups,Ozone,06-037-9033,15
2019-08-13,California,Los Angeles,6,37,140,Unhealthy for Sensitive Groups,Ozone,06-037-0016,17
2019-08-14,California,Los Angeles,6,37,174,Unhealthy,Ozone,06-037-0016,15
2019-08-15,California,Los Angeles,6,37,159,Unhealthy,Ozone,06-037-6012,15
2019-08-16,California,Los Angeles,6,37,105,Unhealthy for Sensitive Groups,Ozone,06-037-9033,17
2019-08-17,California,Los Angeles,6,37,90,Moderate,Ozone,06-037-0016,15
2019-08-18,California,Los Angeles,6,37,67,Moderate,Ozone,06-037-0016,15
2019-08-19,California,Los Angeles,6,37,80,Moderate,Ozone,06-037-0016,17
2019-08-20,California,Los Angeles,6,37,133,Unhealthy for Sensitive Groups,Ozone,06-037-0016,15
2019-08-21,California,Los Angeles,6,37,197,Unhealthy,Ozone,06-037-6012,15
2019-08-22,California,Los Angeles,6,37,151,Unhealthy,Ozone,06-037-6012,17
2019-08-23,California,Los Angeles,6,37,119,Unhealthy for Sensitive Groups,Ozone,06-037-6012,15
2019-08-24,California,Los Angeles,6,37,129,Unhealthy for Sensitive Groups,Ozone,06-037-0016,15
2019-08-25,California,Los Angeles,6,37,101,Unhealthy for Sensitive Groups,Ozone,06-037-0016,17
2019-08-26,California,Los Angeles,6,37,156,Unhealthy,Ozone,06-037-6012,15
2019-08-27,California,Los Angeles,6,37,122,Unhealthy for Sensitive Groups,Ozone,06-037-6012,15
2019-08-28,California,Los Angeles,6,37,90,Moderate,Ozone,06-037-6012,17
2019-08-29,California,Los Angeles,6,37,105,Unhealthy for Sensitive Groups,Ozone,06-037-0016,15
2019-08-30,California,Los Angeles,6,37,112,Unhealthy for Sensitive Groups,Ozone,06-037-0016,15
2019-08-31,California,Los Angeles,6,37,140,Unhealthy for Sensitive Groups,Ozone,06-037-0016,17
2019-09-01,California,Los Angeles,6,37,190,Unhealthy,Ozone,06-037-0016,15
2019-09-02,California,Los Angeles,6,37,97,Moderate,Ozone,06-037-6012,15
2019-09-03,California,Los Angeles,6,37,77,Moderate,Ozone,06-037-0016,17
2019-09-04,California,Los Angeles,6,37,108,Unhealthy for Sensitive Groups,Ozone,06-037-6012,15
2019-09-05,California,Los Angeles,6,37,87,Moderate,Ozone,06-037-6012,15
2019-09-06,California,Los Angeles,6,37,67,Moderate,Ozone,06-037-2005,17
2019-09-07,California,Los Angeles,6,37,105,Unhealthy for Sensitive Groups,Ozone,06-037-0016,15
2019-09-08,California,Los Angeles,6,37,67,Moderate,Ozone,06-037-6012,15
2019-09-09,California,Los Angeles,6,37,97,Moderate,Ozone,06-037-6012,17
2019-09-10,California,Los Angeles,6,37,53,Moderate,PM2.5,06-037-0016,15
2019-09-11,California,Los Angeles,6,37,105,Unhealthy for Sensitive Groups,Ozone,06-037-6012,15
2019-09-12,California,Los Angeles,6,37,115,Unhealthy for Sensitive Groups,Ozone,06-037-2005,17
2019-09-13,California,Los Angeles,6,37,147,Unhealthy for Sensitive Groups,Ozone,06-037-2005,15
2019-09-14,California,Los Angeles,6,37,185,Unhealthy,Ozone,06-037-0016,14
2019-09-15,California,Los Angeles,6,37,133,Unhealthy for Sensitive Groups,Ozone,06-037-0016,16
2019-09-16,California,Los Angeles,6,37,61,Moderate,PM2.5,06-037-1103,14
2019-09-17,California,Los Angeles,6,37,80,Moderate,Ozone,06-037-6012,15
2019-09-18,California,Los Angeles,6,37,80,Moderate,Ozone,06-037-9033,17
2019-09-19,California,Los Angeles,6,37,46,Good,PM2.5,06-037-0016,15
2019-09-20,California,Los Angeles,6,37,54,Moderate,Ozone,06-037-1201,15
2019-09-21,California,Los Angeles,6,37,126,Unhealthy for Sensitive Groups,Ozone,06-037-0016,17
2019-09-22,California,Los Angeles,6,37,100,Moderate,Ozone,06-037-2005,15
2019-09-23,California,Los Angeles,6,37,77,Moderate,Ozone,06-037-6012,15
2019-09-24,California,Los Angeles,6,37,108,Unhealthy for Sensitive Groups,Ozone,06-037-2005,17
2019-09-25,California,Los Angeles,6,37,129,Unhealthy for Sensitive Groups,Ozone,06-037-6012,15
2019-09-26,California,Los Angeles,6,37,54,Moderate,PM2.5,06-037-1103,15
2019-09-27,California,Los Angeles,6,37,42,Good,PM2.5,06-037-0016,17
2019-09-28,California,Los Angeles,6,37,33,Good,Ozone,06-037-9033,15
2019-09-29,California,Los Angeles,6,37,46,Good,Ozone,06-037-1201,15
2019-09-30,California,Los Angeles,6,37,48,Good,PM2.5,06-037-4008,16
2019-10-01,California,Los Angeles,6,37,52,Moderate,NO2,06-037-4008,15
2019-10-02,California,Los Angeles,6,37,87,Moderate,Ozone,06-037-6012,16
2019-10-03,California,Los Angeles,6,37,105,Unhealthy for Sensitive Groups,Ozone,06-037-1201,16
2019-10-04,California,Los Angeles,6,37,100,Moderate,Ozone,06-037-6012,15
2019-10-05,California,Los Angeles,6,37,164,Unhealthy,Ozone,06-037-0016,15
2019-10-06,California,Los Angeles,6,37,192,Unhealthy,Ozone,06-037-0016,17
2019-10-07,California,Los Angeles,6,37,133,Unhealthy for Sensitive Groups,Ozone,06-037-0016,15
2019-10-08,California,Los Angeles,6,37,87,Moderate,Ozone,06-037-9033,15
2019-10-09,California,Los Angeles,6,37,74,Moderate,Ozone,06-037-9033,17
