Date,AQI
2015-10-19,27.6
2015-10-20,37.0
2015-10-21,57.2
2015-10-22,55.0
2015-10-23,29.4
2015-10-24,22.0
2015-10-25,20.2
2015-10-26,36.0
2015-10-27,30.6
2015-10-28,22.4
2015-10-29,27.0
2015-10-30,23.2
2015-10-31,26.4
2015-11-01,42.8
2015-11-02,48.4
2015-11-03,58.4
2015-11-04,58.8
2015-11-05,70.8
2015-11-06,45.2
2015-11-07,24.6
2015-11-08,27.2
2015-11-09,45.8
2015-11-10,30.2
2015-11-11,21.4
2015-11-12,25.8
2015-11-13,25.4
2015-11-14,25.8
2015-11-15,30.8
2015-11-16,49.8
2015-11-17,32.0
2015-11-18,24.6
2015-11-19,25.8
2015-11-20,25.0
2015-11-21,27.8
2015-11-22,26.4
2015-11-23,24.0
2015-11-24,42.8
2015-11-25,53.6
2015-11-26,55.0
2015-11-27,34.8
2015-11-28,35.4
2015-11-29,25.6
2015-11-30,35.4
2015-12-01,28.4
2015-12-02,47.0
2015-12-03,31.2
2015-12-04,38.4
2015-12-05,54.6
2015-12-06,65.8
2015-12-07,73.0
2015-12-08,54.4
2015-12-09,60.4
2015-12-10,61.4
2015-12-11,74.8
2015-12-12,81.0
2015-12-13,72.6
2015-12-14,44.4
2015-12-15,22.4
2015-12-16,23.8
2015-12-17,31.2
2015-12-18,30.8
2015-12-19,32.2
2015-12-20,36.0
2015-12-21,38.4
2015-12-22,46.2
2015-12-23,49.8
2015-12-24,41.2
2015-12-25,59.0
2015-12-26,28.0
2015-12-27,33.0
2015-12-28,26.6
2015-12-29,31.4
2015-12-30,40.2
2015-12-31,36.2
2016-01-01,36.2
2016-01-02,48.6
2016-01-03,54.0
2016-01-04,41.6
2016-01-05,52.2
2016-01-06,59.6
2016-01-07,79.4
2016-01-08,59.8
2016-01-09,52.2
2016-01-10,28.8
2016-01-11,36.6
2016-01-12,43.4
2016-01-13,43.0
2016-01-14,54.2
2016-01-15,66.0
2016-01-16,45.0
2016-01-17,35.6
2016-01-18,40.6
2016-01-19,33.8
2016-01-20,32.2
2016-01-21,36.6
2016-01-22,34.0
2016-01-23,31.0
2016-01-24,44.4
2016-01-25,57.4
2016-01-26,58.6
2016-01-27,49.0
2016-01-28,55.2
2016-01-29,50.6
2016-01-30,43.8
2016-01-31,55.4
2016-02-01,56.8
2016-02-02,40.8
2016-02-03,36.6
2016-02-04,36.4
2016-02-05,29.2
2016-02-06,44.4
2016-02-07,55.6
2016-02-08,31.4
2016-02-09,49.6
2016-02-10,46.8
