Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID
County,2019-03-12,6.0,CA,6037.0,Los Angeles County,2016036.0,8058594.0,35651744.0,9499752.0,8880590.0,4270895.0,5553322.0,5266089.0,1578579.0,356774.0,147872.0,51688.0,46183.0,06-06037-20190312
County,2019-03-13,6.0,CA,6037.0,Los Angeles County,2043308.0,8031322.0,36510975.0,9527400.0,9179772.0,4445877.0,5724790.0,5455290.0,1613365.0,346050.0,132662.0,41484.0,44285.0,06-06037-20190313
County,2019-03-14,6.0,CA,6037.0,Los Angeles County,2040196.0,8034434.0,36958948.0,9217428.0,9289923.0,4568452.0,5926204.0,5672415.0,1688070.0,365091.0,140917.0,46272.0,44176.0,06-06037-20190314
County,2019-03-15,6.0,CA,6037.0,Los Angeles County,1982102.0,8092528.0,40015769.0,10122164.0,10009972.0,4908915.0,6412190.0,6019423.0,1817924.0,450673.0,178085.0,51522.0,44901.0,06-06037-20190315
County,2019-03-16,6.0,CA,6037.0,Los Angeles County,2032395.0,8042235.0,41006799.0,10769496.0,10405261.0,5072746.0,6317526.0,5790836.0,1840905.0,529732.0,192088.0,49584.0,38625.0,06-06037-20190316
County,2019-03-17,6.0,CA,6037.0,Los Angeles County,1971814.0,8102816.0,36512690.0,9645124.0,9458086.0,4495341.0,5505439.0,4990079.0,1627990.0,496998.0,196855.0,54937.0,41841.0,06-06037-20190317
County,2019-03-18,6.0,CA,6037.0,Los Angeles County,1891572.0,8183058.0,37431905.0,9834403.0,9285611.0,4464966.0,5772707.0,5532327.0,1788396.0,473814.0,180303.0,53621.0,45757.0,06-06037-20190318
County,2019-03-19,6.0,CA,6037.0,Los Angeles County,1878701.0,8195929.0,38222323.0,10149005.0,9330066.0,4596825.0,5954337.0,5713272.0,1775742.0,443223.0,163772.0,51533.0,44548.0,06-06037-20190319
County,2019-03-20,6.0,CA,6037.0,Los Angeles County,2190564.0,7884066.0,37699217.0,9880646.0,9430544.0,4612334.0,6086078.0,5523679.0,1580489.0,373331.0,136687.0,34642.0,40787.0,06-06037-20190320
County,2019-03-21,6.0,CA,6037.0,Los Angeles County,2187871.0,7886759.0,38759122.0,10084648.0,9678595.0,4734733.0,6304660.0,5729022.0,1624274.0,389682.0,137321.0,37901.0,38286.0,06-06037-20190321
County,2019-03-22,6.0,CA,6037.0,Los Angeles County,2152108.0,7922522.0,42443895.0,10996487.0,10592414.0,5229847.0,6868839.0,6242875.0,1800571.0,443156.0,183072.0,45631.0,41003.0,06-06037-20190322
County,2019-03-23,6.0,CA,6037.0,Los Angeles County,2217942.0,7856688.0,42157619.0,10831138.0,10608595.0,5179565.0,6775872.0,6114069.0,1838222.0,529502.0,199682.0,42409.0,38565.0,06-06037-20190323
County,2019-03-24,6.0,CA,6037.0,Los Angeles County,2194394.0,7880236.0,38879608.0,10021813.0,9869605.0,4770540.0,6184889.0,5485156.0,1703454.0,533670.0,218655.0,49257.0,42569.0,06-06037-20190324
County,2019-03-25,6.0,CA,6037.0,Los Angeles County,2072449.0,8002181.0,39803158.0,10550041.0,9731074.0,4806437.0,6373622.0,5859235.0,1739037.0,451228.0,180100.0,54369.0,58015.0,06-06037-20190325
County,2019-03-26,6.0,CA,6037.0,Los Angeles County,2076963.0,7997667.0,39259034.0,10241736.0,9611310.0,4776957.0,6361378.0,5854591.0,1717788.0,428608.0,162913.0,48363.0,55390.0,06-06037-20190326
County,2019-03-27,6.0,CA,6037.0,Los Angeles County,2047691.0,8026939.0,42977569.0,11245500.0,10959893.0,5271753.0,6915397.0,6330145.0,1687744.0,375423.0,121203.0,32780.0,37731.0,06-06037-20190327
County,2019-03-28,6.0,CA,6037.0,Los Angeles County,2027393.0,8047237.0,41975966.0,10664898.0,10802994.0,5187315.0,6760144.0,6284785.0,1700546.0,379253.0,123834.0,33295.0,38902.0,06-06037-20190328
County,2019-03-29,6.0,CA,6037.0,Los Angeles County,2051136.0,8023494.0,41732898.0,10411458.0,10590077.0,5222965.0,6816512.0,6308415.0,1733589.0,411302.0,161131.0,38272.0,39177.0,06-06037-20190329
County,2019-03-30,6.0,CA,6037.0,Los Angeles County,2118506.0,7956124.0,41868994.0,10721148.0,10559116.0,5148634.0,6680961.0,6201515.0,1812187.0,495072.0,174869.0,37650.0,37842.0,06-06037-20190330
County,2019-03-31,6.0,CA,6037.0,Los Angeles County,2127970.0,7946660.0,39835881.0,10265033.0,10051213.0,4853722.0,6359235.0,5762504.0,1741623.0,519446.0,194502.0,46668.0,41935.0,06-06037-20190331
County,2019-04-01,6.0,CA,6037.0,Los Angeles County,2084831.0,7989799.0,40976261.0,11394338.0,10087675.0,4815879.0,6315976.0,5913603.0,1742802.0,451545.0,168620.0,45422.0,40401.0,06-06037-20190401
